Year,Population
2020,"2,860,853"
2019,"2,933,408"
2018,"3,039,596"
2017,"3,163,667"
2016,"3,283,125"
2015,"3,381,518"
2010,"3,579,841"
2005,"3,631,889"
2000,"3,668,960"
1995,"3,567,696"
1990,"3,403,154"
1985,"3,263,179"
1980,"3,090,691"
1975,"2,844,927"
1970,"2,631,707"
1965,"2,507,537"
1960,"2,294,982"
1955,"2,195,516"
1950,2210703
1940,1869255
