Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Cyprus,459709,495000,533000,579000,601000,628000,627000,631000,680000,746000,848000,920000,1011000,1103000,1190000,1267000
Czech Republic,8506671,8926000,9366000,9660000,9777000,9796000,10043000,10289000,10311000,10310000,10324000,10269000,10267000,10551000,10645000,10703000
Democratic Republic of the Congo,12313098,13569000,14953000,16611000,18856000,21781000,25033000,29011000,33348000,39152000,46705000,52446000,60699000,69852000,79376000,89250000
Denmark,4110357,4272000,4440000,4582000,4759000,4929000,5060000,5124000,5114000,5141000,5233000,5338000,5433000,5516000,5582000,5643000
Djibouti,70330,80000,91000,112000,143000,180000,227000,327000,383000,500000,554000,670000,667000,741000,829000,922000
Dominica,47439,52000,57000,60000,64000,70000,74000,74000,74000,71000,72000,71000,73000,73000,74000,75000
Dominican Republic,2022136,2353000,2738000,3232000,3806000,4423000,5049000,5697000,6379000,7084000,7759000,8469000,9165000,9824000,10479000,11110000
Timor-Leste,401894,436000,473000,509000,554000,598000,677000,558000,649000,740000,868000,768000,985000,1088000,1232000,1384000
Ecuador,2955217,3370000,3843000,4416000,5118000,5940000,6872000,7921000,9062000,10319000,11266000,12446000,13663000,14791000,15869000,16905000
Egypt,18836150,21198000,23856000,26847000,30266000,33575000,36953000,42635000,50053000,54908000,58946000,65159000,72544000,80472000,88488000,99667000
El Salvador,1693789,1940000,2222000,2582000,3018000,3604000,4073000,4571000,4672000,5110000,5480000,5850000,5957000,6053000,6142000,6218000
Equatorial Guinea,198867,212000,226000,244000,253000,271000,214000,257000,326000,372000,427000,492000,568000,651000,741000,837000
Eritrea,1313148,1403000,1499000,1615000,1747000,2161000,2422000,2569000,2942000,3138000,3566000,4198000,5070000,5793000,6528000,7260000
Estonia,1040014,1096000,1155000,1211000,1288000,1364000,1433000,1483000,1539000,1570000,1447000,1380000,1332000,1303000,1266000,1229000
Ethiopia,18508964,20175000,21991000,24169000,26741000,29469000,32976000,36037000,40684000,47555000,55726000,64366000,74355000,86043000,99466000,114641000
Faroe Islands,31030,32000,33000,35000,38000,39000,41000,44000,46000,48000,44000,46000,49000,50000,51000,52000
Federated States of Micronesia,26694,31000,36000,42000,49000,57000,67000,78000,91000,109000,106000,108000,109000,108000,106000,103000
Fiji,249081,288000,333000,394000,464000,522000,577000,635000,699000,740000,773000,805000,837000,876000,910000,936000
Finland,3795060,4009000,4235000,4430000,4564000,4607000,4712000,4780000,4902000,4987000,5105000,5169000,5239000,5355000,5477000,5572000
France,40902552,42540000,44243000,46612000,49834000,51955000,53998000,55164000,56561000,58256000,59824000,61256000,63060000,64941000,66554000,67849000
French Polynesia,55125,63000,72000,82000,95000,115000,134000,151000,176000,200000,217000,236000,254000,269000,283000,296000
Gabon,403394,416000,429000,447000,475000,515000,648000,714000,834000,939000,1070000,1237000,1396000,1546000,1706000,1877000
Georgia,3229429,3516000,3828000,4147000,4465000,4695000,4898000,5046000,5193000,5432000,5042000,4819000,4791000,4903000,4932000,4931000
Germany,66601240,68375000,70196000,72481000,75639000,77784000,78683000,78298000,77685000,79381000,81654000,82184000,82440000,81645000,80855000,82983000
Ghana,4640239,5298000,6049000,6959000,8010000,8789000,10100000,11153000,13573000,15549000,17322000,18982000,21107000,23572000,26328000,29341000
Gibraltar,22042,23000,24000,25000,26000,27000,30000,29000,29000,30000,27000,28000,29000,29000,30000,30000
Greece,7187985,7567000,7966000,8328000,8551000,8793000,9047000,9643000,9924000,10130000,10458000,10560000,10669000,10750000,10776000,10743000
Greenland,19593,23000,27000,33000,40000,47000,50000,51000,54000,56000,57000,57000,58000,58000,58000,58000
