Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Uganda,4826287,5522000,6318000,7262000,8390000,9716000,10761000,12020000,13811000,16549000,19641000,22917000,26917000,31508000,37102000,43518000
Ukraine,34351917,36775000,39369000,42645000,45235000,47236000,48974000,50047000,50945000,51623000,51248000,49014000,47003000,45769000,44430000,43923000
United Arab Emirates,62458,72000,83000,104000,144000,250000,523000,1001000,1364000,1827000,2458000,3220000,4087000,4976000,5780000,6496000
United Kingdom,49322166,50128000,50947000,52373000,54351000,55633000,56216000,56315000,56585000,57411000,58187000,59140000,60488000,62349000,64089000,65762000
United States of America,139723712,151869000,165070000,179980000,193527000,203985000,215466000,227225000,237924000,249623000,266279000,282163000,295517000,309348000,321369000,334504000
United States Virgin Islands,26036,27000,28000,33000,44000,64000,95000,100000,101000,104000,108000,109000,108000,107000,104000,101000
Uruguay,2046740,2195000,2354000,2531000,2694000,2824000,2844000,2931000,3019000,3086000,3151000,3220000,3265000,3302000,3342000,3388000
Uzbekistan,5475162,6293000,7233000,8532000,10206000,11941000,13988000,15994000,18216000,20531000,23068000,25042000,26540000,27866000,29200000,30566000
Vanuatu,47610,53000,59000,67000,75000,86000,100000,117000,135000,154000,173000,192000,218000,246000,273000,299000
Venezuela,4067428,5010000,6171000,7557000,9068000,10759000,12675000,14768000,16998000,19326000,21550000,23493000,25270000,27224000,29276000,31276000
Vietnam,23164923,25349000,27739000,31657000,37259000,42577000,48076000,53716000,60094000,67259000,73784000,79178000,84425000,89572000,94349000,98722000
Wallis and Futuna,6125,7000,8000,8000,9000,9000,9000,11000,14000,14000,15000,15000,16000,16000,16000,16000
estern Sahara,6250,10000,16000,28000,50000,90000,73000,125000,180000,218000,264000,337000,416000,492000,571000,653000
Yemen,4335223,4778000,5266000,5872000,6511000,7099000,7935000,9133000,10540000,12417000,14832000,17236000,20003000,23210000,26738000,29885000
Zambia,2272793,2554000,2870000,3255000,3695000,4241000,4849000,5541000,6536000,7604000,8691000,9984000,11373000,13042000,15067000,17427000
Zimbabwe,2388656,2854000,3410000,4011000,4686000,5515000,6342000,7170000,8561000,10157000,11160000,11821000,11640000,11652000,14230000,15832000
